job_id,model_name,seed_id,sample_id,dG_separated,dG_cross,sc_value,nres_all,nres_int,total_score,binding_energy
8c5l_C,af3,1,0,18.4146,-18.9879,0.5973,587.0,34.0,-1129.4402,-37.4025
8c5l_C,af3,1,1,90.2244,-12.6309,0.5668,587.0,38.0,-993.5072,-102.8553
8c5l_C,af3,1,2,19.9449,-18.1057,0.6498,587.0,36.0,-1014.5613,-38.0506
8c5l_C,af3,1,3,30.7188,-21.098,0.5408,587.0,34.0,-1073.771,-51.8168
8c5l_C,af3,1,4,87.9746,7.4746,0.4217,587.0,48.0,-1023.6036,-80.5
8c5l_C,af3,1,5,44.0835,-5.0636,0.4394,587.0,38.0,-1058.2819,-49.1471
8c5l_C,af3,1,6,47.4828,-23.2483,0.4539,587.0,39.0,-987.8557,-70.7311
8c5l_C,af3,1,7,46.8512,-18.9581,0.5837,587.0,45.0,-1032.712,-65.8093
8c5l_C,af3,1,8,33.2923,-13.2772,0.5417,587.0,34.0,-1111.0562,-46.5695
8c5l_C,af3,1,9,13.9219,-18.9823,0.5314,587.0,31.0,-1083.5769,-32.9042
8c5l_C,af3,2,0,14.3028,-10.6944,0.4577,587.0,26.0,-1130.1708,-24.9972
8c5l_C,af3,2,1,-6.1844,-31.0392,0.6401,587.0,53.0,-1141.569,-24.8548
8c5l_C,af3,2,2,35.9374,-15.9359,0.5602,587.0,35.0,-1090.8347,-51.8733
8c5l_C,af3,2,3,37.904,-19.1184,0.532,587.0,35.0,-1120.5512,-57.0224
8c5l_C,af3,2,4,32.1931,-24.0434,0.5554,587.0,45.0,-1067.316,-56.2365
8c5l_C,af3,2,5,18.2078,-13.6488,0.4814,587.0,30.0,-1129.518,-31.8566
8c5l_C,af3,2,6,80.2117,5.7286,0.6088,587.0,42.0,-1019.5913,-74.4831
8c5l_C,af3,2,7,24.9219,-21.1836,0.5685,587.0,34.0,-1071.6908,-46.1055
8c5l_C,af3,2,8,57.2846,-15.618,0.4489,587.0,42.0,-1071.5424,-72.9026
8c5l_C,af3,2,9,23.1464,-32.7407,0.6812,587.0,51.0,-1207.8838,-55.8871
8c5l_C,af3,3,0,11.8367,-34.5602,0.6829,587.0,41.0,-1247.5327,-46.3969
8c5l_C,af3,3,1,40.8427,-14.557,0.4291,587.0,35.0,-1062.7071,-55.3997
8c5l_C,af3,3,2,15.2865,-19.9728,0.575,587.0,34.0,-1101.789,-35.2593
8c5l_C,af3,3,3,38.4909,-16.4044,0.4941,587.0,31.0,-1048.1961,-54.8953
8c5l_C,af3,3,4,12.5785,-18.502,0.541,587.0,32.0,-1103.7551,-31.0805
8c5l_C,af3,3,5,13.5584,-21.1631,0.5868,587.0,34.0,-1163.971,-34.7215
8c5l_C,af3,3,6,5.2387,-24.0289,0.4943,587.0,39.0,-1258.1757,-29.2676
8c5l_C,af3,3,7,27.1632,-20.1206,0.6255,587.0,39.0,-1155.9202,-47.2838
8c5l_C,af3,3,8,43.2122,-19.0953,0.5515,587.0,45.0,-1112.0941,-62.3075
8c5l_C,af3,3,9,42.2282,-16.7873,0.6583,587.0,45.0,-1025.4372,-59.0155
8c5l_C,af3,4,0,31.9715,-5.811,0.6223,587.0,36.0,-1089.6065,-37.7825
8c5l_C,af3,4,1,36.9434,-15.6658,0.579,587.0,39.0,-1095.7237,-52.6092
