1DU6_1	1DU6_1
2GQC_1	2GQC_1
2MKX_1	2MKX_1
2HFD_1	2HFD_1
2HFD_1	2JZT_1
6TKT_1	6TKT_1
2G46_1	2G46_1
2G46_1	3KMT_1
2G46_1	3KMJ_1
2G46_1	3KMA_1
2C5Z_1	2C5Z_1
1VSC_1	1VSC_1
5YGD_1	5YGD_1
5YGD_1	5YGF_1
5YGD_1	5YGB_1
5YGD_1	5YGC_1
4MZD_1	4MZD_1
1N4M_1	1N4M_1
1XOC_1	1XOC_1
7JGI_1	7JGI_1
7JGI_1	6MV3_1
7JGI_1	5W88_1
6GSE_1	6GSE_1
3R69_1	3R69_1
3R69_1	3R68_1
3R69_1	1I92_1
3R69_1	4MPA_1
3R69_1	4LMM_1
3R69_1	4N6X_1
3R69_1	1GQ5_1
3R69_1	1GQ4_1
3R69_1	4JL7_1
3R69_1	4PQW_1
3R69_1	1G9O_1
3R69_1	4P0C_1
3R69_1	2HE4_1
3R69_1	6EZI_1
1N5B_1	1N5B_1
5Y02_1	5Y02_1
5Y02_1	5XZT_1
2IFR_1	2IFR_1
2IFR_1	1S2B_1
2IFR_1	1S2K_1
2IFR_1	2IFW_1
1E91_1	1E91_1
1FOV_1	1FOV_1
1FOV_1	1QFN_1
1TFI_1	1TFI_1
1U89_1	1U89_1
2E61_1	2E61_1
2E61_1	2RR4_1
2B1O_1	2B1O_1
2B1O_1	1YHP_1
2KSL_1	2KSL_1
2KSL_1	6URP_1
2L4R_1	2L4R_1
2KZS_1	2KZS_1
2KZS_1	5GRQ_1
2KZS_1	2KZU_1
2LLZ_1	2LLZ_1
2M9U_1	2M9U_1
2M9U_1	7JYZ_1
2MHK_1	2MHK_1
2MQS_1	2MQS_1
1BBI_1	1BBI_1
1BBI_1	2BBI_1
1BBI_1	1TAB_2
2LU2_1	2LU2_1
2MZI_1	2MZI_1
2MZI_1	2MZH_1
2MZI_1	2MZE_1
2MZI_1	1SLM_1
6GD5_1	6GD5_1
4A4H_1	4A4H_1
4A4H_1	4A4F_1
6RWG_1	6RWG_1
4A4E_1	4A4E_1
4A4E_1	4A4G_1
6HKC_1	6HKC_1
6E83_1	6E83_1
6E83_1	6E86_1
1FBV_3	1FBV_3
4I80_1	4I80_1
4I80_1	6OPJ_1
4I80_1	4GQ6_1
4I80_1	3U88_1
4I80_1	3U84_1
4I80_1	3U85_1
4I80_1	3U86_1
4OJM_1	4OJM_1
3QFH_1	3QFH_1
3QFH_1	3T41_1
4YDP_1	4YDP_1
4YDP_1	2UZC_1
4YDP_1	2PKT_1
4YDP_1	2V1W_1
4YDP_1	4Q2O_1
4YDP_1	3PDV_1
4L9P_1	4L9P_1
4L9P_1	4LNG_1
4L9P_1	4LNB_1
4L9P_1	4MBG_1
4L9P_2	4L9P_2
4L9P_2	4LNG_2
4L9P_2	4LNB_2
4L9P_2	4MBG_2
5M9N_1	5M9N_1
1SRA_1	1SRA_1
1UEO_1	1UEO_1
1OR0_1	1OR0_1
1OR0_2	1OR0_2
1O9K_2	1O9K_2
1O9K_2	1GUX_2
1O9K_1	1O9K_1
1O9K_1	1GUX_1
3D9T_1	3D9T_1
3D9T_1	2UVL_1
3D9T_1	3D9U_1
3D9T_1	2VM5_1
3GLH_1	3GLH_1
3GLH_2	3GLH_2
3GLH_3	3GLH_3
2QYF_2	2QYF_2
3TR5_1	3TR5_1
3GL6_1	3GL6_1
3GL6_1	5C11_1
4AJY_4	4AJY_4
4AJY_4	1LQB_3
4AJY_4	1LM8_3
4AJY_4	6BVB_1
4AJY_4	6GFX_3
4BOS_1	4BOS_1
3Q75_1	3Q75_1
3Q75_1	3Q78_1
3Q75_2	3Q75_2
3Q75_2	3Q78_2
4AID_1	4AID_1
4AID_1	4AIM_1
3WP0_1	3WP0_1
3WP0_1	3W9Y_1
3WP0_1	5GNV_1
3WP0_1	5YPO_1
4QBR_1	4QBR_1
4QBR_1	4QBQ_1
4QBR_1	4QBS_1
5B7M_1	5B7M_1
5B7M_1	5B7F_1
5FA5_2	5FA5_2
5FA5_2	6V0N_2
5FA5_2	6V0O_2
5FA5_2	4GQB_2
5FA5_2	4G56_2
5FB1_1	5FB1_1
5FB1_1	5FB0_1
5OO6_1	5OO6_1
5OO6_1	5OOB_1
5LUM_2	5LUM_2
5LB7_1	5LB7_1
5LB7_2	5LB7_2
6DS6_1	6DS6_1
4PK0_2	4PK0_2
4PK0_2	4PJZ_2
4PK0_2	2B6T_1
4PK0_2	2OE9_1
4PK0_2	2OEA_1
4PK0_2	2OE7_1
4PK0_2	1SX2_1
4PK0_2	1SX7_1
4PK0_2	1SWZ_1
4PK0_2	1SWY_1
4PK0_2	5V7D_1
4PK0_2	5V7E_1
4PK0_2	5V7F_1
4PK0_2	7CN7_1
6GMG_1	6GMG_1
2L4T_1	2L4T_1
2L4T_1	4E3B_1
2L4T_1	2L4S_1
2L4T_1	3DIW_1
2L4T_1	3DJ1_1
2L4T_1	3DJ3_1
2L4T_1	3GJ9_1
2L4T_1	4NNL_1
2L4T_1	4NNM_1
2L4T_1	3SFJ_1
4F37_1	4F37_1
5HHX_1	5HHX_1
5HHX_1	5HHV_1
5HHX_1	5VB9_1
5HHX_1	5HI3_1
