dG_cross,dG_cross_iASA,meas,meas_log,iptm,actifptm,ptm,confidence_score,ranking_score
101.0,97.0,1.0,1.0,80.0,45.0,109.0,63.0,63.0
118.0,117.0,1.0,1.0,61.0,60.0,87.0,69.0,69.0
43.0,53.0,1.0,1.0,48.0,17.0,94.0,36.0,36.0
85.0,91.0,1.0,1.0,43.0,100.0,52.0,92.0,92.0
8.0,21.0,1.0,1.0,1.0,6.0,7.0,6.0,6.0
37.0,38.0,1.0,1.0,44.0,89.0,75.0,87.0,87.0
84.0,89.0,1.0,1.0,30.0,47.0,73.0,48.0,48.0
7.0,8.0,1.0,1.0,45.0,33.0,90.0,42.0,42.0
29.0,33.0,1.0,1.0,14.0,8.0,12.0,7.0,7.0
5.0,7.0,1.0,1.0,4.0,4.0,9.0,5.0,5.0
137.0,137.0,1.0,1.0,70.0,84.0,111.0,92.0,92.0
36.0,32.0,1.0,1.0,18.0,8.0,15.0,7.0,7.0
20.0,31.0,1.0,1.0,52.0,34.0,87.0,45.0,45.0
48.0,58.0,1.0,1.0,85.0,89.0,115.0,99.0,99.0
1.0,1.0,1.0,1.0,13.0,15.0,12.0,11.0,11.0
22.0,20.0,1.0,1.0,47.0,22.0,27.0,21.0,21.0
89.0,94.0,1.0,1.0,39.0,72.0,86.0,75.0,75.0
90.0,85.0,1.0,1.0,10.0,11.0,16.0,9.0,9.0
27.0,35.0,1.0,1.0,8.0,38.0,57.0,39.0,39.0
71.0,67.0,1.0,1.0,98.0,22.0,69.0,33.0,33.0
10.0,9.0,27.0,27.0,5.0,16.0,11.0,11.0,11.0
113.0,114.0,25.0,25.0,89.0,28.0,18.0,21.0,21.0
60.0,70.0,38.0,38.0,22.0,43.0,85.0,48.0,48.0
45.0,55.0,36.0,36.0,14.0,20.0,34.0,24.0,24.0
6.0,10.0,34.0,34.0,7.0,8.0,43.0,15.0,15.0
11.0,11.0,29.0,29.0,62.0,62.0,73.0,67.0,67.0
14.0,15.0,21.0,21.0,18.0,28.0,63.0,33.0,33.0
33.0,34.0,30.0,30.0,93.0,62.0,57.0,63.0,63.0
82.0,88.0,24.0,24.0,50.0,57.0,47.0,55.0,55.0
41.0,51.0,23.0,23.0,2.0,1.0,6.0,1.0,1.0
100.0,101.0,28.0,28.0,59.0,20.0,37.0,25.0,25.0
46.0,49.0,39.0,39.0,91.0,87.0,80.0,88.0,88.0
87.0,83.0,25.0,25.0,94.0,25.0,49.0,29.0,29.0
9.0,5.0,40.0,40.0,104.0,57.0,65.0,59.0,59.0
115.0,115.0,22.0,22.0,36.0,28.0,14.0,18.0,18.0
93.0,92.0,37.0,37.0,3.0,3.0,1.0,2.0,2.0
18.0,22.0,32.0,32.0,74.0,52.0,42.0,46.0,46.0
2.0,3.0,31.0,31.0,66.0,84.0,94.0,88.0,88.0
26.0,28.0,35.0,35.0,64.0,67.0,84.0,72.0,72.0
69.0,65.0,33.0,33.0,24.0,38.0,29.0,31.0,31.0
57.0,50.0,52.0,52.0,78.0,73.0,102.0,81.0,81.0
13.0,16.0,57.0,57.0,34.0,28.0,4.0,14.0,14.0
94.0,99.0,45.0,45.0,103.0,100.0,117.0,107.0,107.0
73.0,78.0,56.0,56.0,33.0,5.0,2.0,4.0,4.0
12.0,13.0,58.0,58.0,32.0,69.0,32.0,59.0,59.0
