job_name,pdb_id,peptide_chains,protein_chains,peptide_chain_len,peptide_chain_has_ncaa,msa_status_af3,infer_status_af3
8c5l_C,8c5l,C,A,19,False,done,done
8ccz_C,8ccz,C,A:B:D,23,False,done,done
8cd3_A,8cd3,A,B,8,False,done,done
8cir_C,8cir,C,A,16,False,done,done
8cis_B,8cis,B,A,16,False,done,done
8ck5_B,8ck5,B,A,15,False,done,done
8ckc_B,8ckc,B,A,15,False,done,done
8cky_B,8cky,B,A,17,False,done,done
8cm9_E,8cm9,E,A,7,False,done,done
8cmc_C,8cmc,C,A:B,20,False,done,done
8cmd_C,8cmd,C,A:B,15,False,done,done
8cme_C,8cme,C,A:B,15,False,done,done
8cmg_C,8cmg,C,A:B,15,False,done,done
8cmi_C,8cmi,C,A:B,15,False,done,done
8cob_F,8cob,F,E,15,False,done,done
8cqy_B,8cqy,B,A,12,False,done,done
8fu4_C,8fu4,C,A:B,9,False,done,done
8fua_C,8fua,C,A,20,False,done,done
8fub_B,8fub,B,A,20,False,done,done
8fuc_A,8fuc,A,B,18,False,done,done
8fuc_F,8fuc,F,B,6,False,done,done
8fud_C,8fud,C,A,10,False,done,done
8fym_C,8fym,C,A:B,20,False,done,done
8fyu_C,8fyu,C,A,10,False,done,done
8fzm_B,8fzm,B,A,27,False,done,done
8g8a_C,8g8a,C,A:B,20,False,done,done
8g8c_C,8g8c,C,H:L,23,False,done,done
8g8q_B,8g8q,B,A,21,False,done,done
8g8q_C,8g8q,C,A,5,False,done,done
8gck_C,8gck,C,A,7,True,done,done
8gjg_B,8gjg,B,A,25,False,done,done
8gji_B,8gji,B,A,29,False,done,done
8i3f_C,8i3f,C,A:B,6,False,done,done
8i5e_P,8i5e,P,H:L,9,False,done,done
8ia4_Q,8ia4,Q,A:B,5,False,done,done
8ia5_B,8ia5,B,A,9,False,done,done
8ia8_L,8ia8,L,A,15,False,done,done
8ib1_C,8ib1,C,A:B,15,False,done,done
8igc_B,8igc,B,A,26,False,done,done
8in0_B,8in0,B,A,12,False,done,done
8isn_C,8isn,C,A:B,9,False,done,done
8ivz_C,8ivz,C,A,26,False,done,done
8iya_D,8iya,D,B,6,False,done,done
8j5u_B,8j5u,B,A,9,False,done,done
8jbg_A,8jbg,A,B,10,False,done,done
8jbh_A,8jbh,A,B,11,False,done,done
8jgb_L,8jgb,L,R,18,False,done,done
8jgf_L,8jgf,L,R,15,False,done,done
8jgg_L,8jgg,L,R,11,False,done,done
8jis_P,8jis,P,R,29,False,done,done
8jj9_C,8jj9,C,A,21,False,done,done
8jjv_B,8jjv,B,A,14,False,done,done
8jly_B,8jly,B,A,14,False,done,done
8jv0_C,8jv0,C,A:B,9,False,done,done
8jyq_C,8jyq,C,A:B,8,False,done,done
8jzd_B,8jzd,B,A,15,False,done,done
8jzw_E,8jzw,E,A:B:C:D:F,18,False,done,done
8oep_B,8oep,B,A,13,False,done,done
8ofg_C,8ofg,C,A:B,8,False,done,done
8og0_P,8og0,P,H:L,5,False,done,done
8oio_F,8oio,F,B,11,False,done,done
8okf_B,8okf,B,A,15,False,done,done
8op0_B,8op0,B,A,14,False,done,done
8opi_B,8opi,B,A,14,False,done,done
8os1_C,8os1,C,A,5,False,done,done
8p0q_C,8p0q,C,A,6,False,done,done
8p43_P,8p43,P,A:B,9,False,done,done
8p6i_A,8p6i,A,H:L,9,False,done,done
8p9o_P,8p9o,P,A:B:C,15,False,done,done
8p9r_C,8p9r,C,A:B,23,False,done,done
8p9w_B,8p9w,B,A,15,False,done,done
8p9x_B,8p9x,B,A,13,False,done,done
8pef_B,8pef,B,A,17,False,done,done
8pii_B,8pii,B,A,14,False,done,done
8pjg_C,8pjg,C,A:B:D:E,13,False,done,done
8pku_P,8pku,P,B,12,True,done,done
8pkv_P,8pkv,P,B,12,True,done,done
8pn5_I,8pn5,I,A,15,True,done,done
8pwe_B,8pwe,B,A,13,False,done,done
8pwf_B,8pwf,B,A,13,False,done,done
8pwm_B,8pwm,B,A,13,False,done,done
8pxx_B,8pxx,B,A,27,False,done,done
8pz6_B,8pz6,B,A,13,False,done,done
8pz7_B,8pz7,B,A,13,False,done,done
8pz8_B,8pz8,B,A,13,False,done,done
8pz9_B,8pz9,B,A,13,False,done,done
8pzb_B,8pzb,B,A,13,False,done,done
8q1h_C,8q1h,C,A:B,21,False,done,done
