job_id,model_name,dG_separated,dG_cross,sc_value,nres_all,nres_int,total_score,binding_energy
8c5l_C,af3,115.903,-26.5638,0.6575,574,46,-151.9844,-142.4668
8ccz_C,af3,64.99,-38.0622,0.7352,576,56,-232.5319,-103.0522
8cd3_A,af3,9.8923,-31.9306,0.7673,110,44,-109.9677,-41.8229
8cir_C,af3,12.0069,-27.6801,0.7152,353,49,-284.2041,-39.687
8cis_B,af3,1.8687,-37.8538,0.7177,325,47,-365.6621,-39.7225
8ck5_B,af3,60.3613,-2.9994,0.7668,249,35,-33.543,-63.3607
8ckc_B,af3,41.4614,-29.3463,0.7653,247,35,-7.7832,-70.8077
8cky_B,af3,1.2793,-26.075,0.8338,224,34,-200.3945,-27.3543
8cm9_E,af3,95.8214,-7.599,0.7489,711,41,-153.4765,-103.4204
8cmc_C,af3,-45.6968,-96.2995,0.8248,388,85,-491.0238,-50.60269999999999
8cmd_C,af3,26.4165,-63.4456,0.7467,388,80,-125.7553,-89.8621
8cme_C,af3,-28.3792,-87.4139,0.8013,388,83,-393.9047,-59.0347
8cmg_C,af3,-17.8338,-87.849,0.8071,382,80,-335.4776,-70.01520000000001
8cmi_C,af3,2.6807,-62.107,0.7101,389,79,-285.6228,-64.7877
8cob_F,af3,33.1802,-38.9144,0.7852,261,41,130.4768,-72.0946
8cqy_B,af3,44.2454,-16.369,0.7518,99,35,63.3168,-60.614399999999996
8fu4_C,af3,25.9406,-49.7775,0.7779,384,69,-613.8249,-75.7181
8fua_C,af3,-0.6708,-51.3565,0.7362,432,65,-390.8316,-50.6857
8fub_B,af3,54.6581,-33.5527,0.7159,422,56,763.8302,-88.2108
8fuc_A,af3,8.6943,-16.5906,0.6814,431,28,-335.4358,-25.2849
8fuc_F,af3,41.0511,-7.3319,0.7618,432,44,-333.255,-48.382999999999996
8fud_C,af3,83.5863,-20.6203,0.7976,193,27,-98.2551,-104.2066
8fym_C,af3,35.3378,-22.4267,0.7556,460,38,66.9636,-57.7645
8fyu_C,af3,0.1306,-42.7775,0.7841,136,48,-81.9093,-42.908100000000005
8fzm_B,af3,160.1966,-58.0275,0.7008,433,102,262.0967,-218.2241
8g8a_C,af3,108.1304,-24.2835,0.5707,447,42,-26.8252,-132.41389999999998
8g8c_C,af3,28.9533,-32.691,0.7112,457,51,-284.3947,-61.6443
8g8q_B,af3,18.4599,-29.6428,0.8146,434,48,-418.6065,-48.1027
8g8q_C,af3,57.6598,-7.8683,0.686,431,32,-384.0959,-65.5281
8gck_C,af3,19.3304,-39.2183,0.7782,132,42,-163.7365,-58.5487
8gjg_B,af3,115.823,-27.6098,0.6841,187,62,-100.5634,-143.4328
8gji_B,af3,164.2658,-41.498,0.667,189,72,56.9541,-205.7638
8i3f_C,af3,99.1483,50.9104,0.7642,307,32,-244.572,-48.2379
8i5e_P,af3,92.1723,-20.9371,0.7256,382,69,11.4528,-113.10940000000001
8ia4_Q,af3,53.8752,11.126,0.455,192,16,63.1632,-42.7492
8ia5_B,af3,20.7681,-17.5794,0.5863,95,23,152.5794,-38.3475
8ia8_L,af3,157.2853,8.9611,0.495,294,55,675.0631,-148.32420000000002
8ib1_C,af3,5.4711,-28.1727,0.7692,447,43,-552.3571,-33.6438
8igc_B,af3,-0.5395,-73.9955,0.7684,177,68,-201.1904,-73.456
8in0_B,af3,202.2677,75.4192,0.7197,299,60,-109.4457,-126.84849999999999
8isn_C,af3,87.5561,-47.0774,0.7271,382,72,-249.0017,-134.6335
8ivz_C,af3,25.5089,-17.8844,0.6949,189,36,-35.4821,-43.393299999999996
8iya_D,af3,33.859,-19.2604,0.7115,166,28,187.9556,-53.1194
8j5u_B,af3,126.7442,17.1837,0.6714,543,85,-522.3556,-109.5605
8jbg_A,af3,487.4169,176.2228,0.5709,286,57,1554.9196,-311.1941
8jbh_A,af3,939.6642,75.2277,0.6275,281,55,2399.128,-864.4365
8jgb_L,af3,681.9109,643.1508,0.4711,222,20,2125.0783,-38.760099999999966
8jgf_L,af3,90.7047,-17.8978,0.6357,248,35,626.294,-108.6025
8jgg_L,af3,312.566,6.7927,0.7167,234,30,1113.5131,-305.77329999999995
8jis_P,af3,349.4546,-65.1773,0.6295,415,115,1830.4867,-414.63190000000003
8jj9_C,af3,327.5754,12.3891,0.612,319,66,1070.9774,-315.1863
8jjv_B,af3,-14.4333,-52.9839,0.8441,121,59,-140.3544,-38.5506
8jly_B,af3,-22.1977,-54.2762,0.8033,120,58,-143.9879,-32.078500000000005
8jv0_C,af3,160.8032,-32.5831,0.7198,381,74,365.0901,-193.3863
8jyq_C,af3,8.1515,-44.3617,0.8196,331,34,25.038,-52.5132
8jzd_B,af3,44.1939,-56.476,0.7823,179,50,-107.8839,-100.6699
8jzw_E,af3,12.0053,-33.4115,0.7804,275,68,-226.2548,-45.416799999999995
8oep_B,af3,75.2293,-42.7733,0.6834,104,42,4.607,-118.0026
8ofg_C,af3,91.5438,-14.3092,0.6444,309,28,719.4765,-105.85300000000001
8og0_P,af3,4.9351,-17.9643,0.8013,432,36,-256.6164,-22.8994
8oio_F,af3,14.7342,-17.1157,0.7311,289,42,-333.5433,-31.849899999999998
8okf_B,af3,-1.8,-31.9432,0.7497,314,30,-418.1179,-30.1432
8op0_B,af3,-1.8202,-42.0387,0.7779,124,41,-139.6044,-40.2185
8opi_B,af3,-22.1007,-40.1922,0.769,123,40,-157.7071,-18.0915
8os1_C,af3,-5.836,-39.8848,0.8007,302,54,-170.4843,-34.0488
8p0q_C,af3,139.1202,-19.4265,0.7071,625,54,434.5989,-158.54670000000002
8p43_P,af3,80.034,-34.9292,0.7606,386,68,530.2539,-114.9632
8p6i_A,af3,-2.4608,-33.5711,0.7897,438,43,-93.4334,-31.110300000000002
8p9o_P,af3,10.3677,-44.984,0.786,760,42,-172.8392,-55.3517
8p9r_C,af3,68.635,-33.7344,0.6831,156,45,27.683,-102.36940000000001
8p9w_B,af3,237.3256,48.1349,0.7437,248,34,279.5617,-189.1907
8p9x_B,af3,74.0421,-25.0876,0.7608,249,36,190.6282,-99.1297
8pef_B,af3,-7.538,-40.1069,0.767,146,39,-185.6029,-32.5689
8pii_B,af3,-6.3341,-40.8141,0.7629,121,39,-87.5869,-34.480000000000004
8pjg_C,af3,81.7319,-74.9128,0.8027,825,101,-156.3545,-156.6447
8pku_P,af3,35.8293,-20.2232,0.7071,298,48,76.8477,-56.0525
8pkv_P,af3,17.6088,-18.9258,0.7332,297,48,-439.0586,-36.5346
8pn5_I,af3,46.4809,-15.7733,0.6265,353,44,-269.6436,-62.2542
