job_id,model_name,seed_id,sample_id,dG_separated,dG_cross,sc_value,nres_all,nres_int,total_score,binding_energy
8c5l_C,af3,1,0,204.4565,160.7146,0.5569,587,36,-763.6354,-43.7419
8c5l_C,af3,1,1,159.9703,49.4515,0.5784,587,37,-742.128,-110.5188
8c5l_C,af3,1,2,67.1289,16.6315,0.6479,587,36,-701.7459,-50.4974
8c5l_C,af3,1,3,121.6355,59.402,0.4965,587,34,-712.3937,-62.2335
8c5l_C,af3,1,4,194.067,76.032,0.3963,587,48,-555.6083,-118.035
8c5l_C,af3,1,5,180.1941,98.3433,0.4293,587,38,-754.691,-81.8508
8c5l_C,af3,1,6,138.4285,29.53,0.4156,587,39,-555.8565,-108.8985
8c5l_C,af3,1,7,353.7351,204.225,0.4766,587,45,-549.081,-149.5101
8c5l_C,af3,1,8,210.7422,146.6987,0.4815,587,35,-704.8335,-64.0435
8c5l_C,af3,1,9,71.1678,19.5942,0.5191,587,31,-865.126,-51.5736
8c5l_C,af3,2,0,104.5128,57.173,0.363,587,26,-864.746,-47.3398
8c5l_C,af3,2,1,41.3259,-5.5753,0.657,587,53,-1071.0384,-46.9012
8c5l_C,af3,2,2,137.3931,78.5566,0.5289,587,35,-783.6753,-58.8365
8c5l_C,af3,2,3,82.2285,12.215,0.527,587,35,-872.7472,-70.0135
8c5l_C,af3,2,4,139.9342,62.6731,0.5487,587,45,-714.285,-77.2611
8c5l_C,af3,2,5,109.76,71.0672,0.4359,587,30,-857.4433,-38.6928
8c5l_C,af3,2,6,331.8777,207.2149,0.5264,587,42,-436.4697,-124.6628
8c5l_C,af3,2,7,56.96,-4.2817,0.5194,587,35,-812.387,-61.2417
8c5l_C,af3,2,8,154.0546,70.8153,0.3919,587,42,-406.9507,-83.2393
8c5l_C,af3,2,9,74.9644,-0.072,0.6431,587,50,-1051.7064,-75.0364
8c5l_C,af3,3,0,72.8202,31.8596,0.6459,587,41,-1148.3789,-40.9606
8c5l_C,af3,3,1,116.9501,26.0374,0.3917,587,35,-880.4297,-90.9127
8c5l_C,af3,3,2,57.6992,13.1048,0.5764,587,34,-875.2314,-44.5944
8c5l_C,af3,3,3,138.0485,65.5502,0.4154,587,32,-722.1645,-72.4983
8c5l_C,af3,3,4,47.1199,6.0329,0.5277,587,33,-900.1721,-41.087
8c5l_C,af3,3,5,89.0068,34.8146,0.5851,587,34,-963.0405,-54.1922
8c5l_C,af3,3,6,45.2294,3.3605,0.4926,587,39,-1147.61,-41.8689
8c5l_C,af3,3,7,151.651,80.4158,0.5727,587,39,-892.035,-71.2352
8c5l_C,af3,3,8,177.497,96.6028,0.5126,587,46,-766.6791,-80.8942
8c5l_C,af3,3,9,134.2174,64.8286,0.6274,587,46,-742.3333,-69.3888
8c5l_C,af3,4,0,166.811,119.313,0.5724,587,36,-748.9684,-47.498
8c5l_C,af3,4,1,207.9941,151.1728,0.5411,587,38,-795.8954,-56.8213
8c5l_C,af3,4,2,82.673,9.137,0.5667,587,39,-941.534,-73.536
8c5l_C,af3,4,3,134.3828,27.1806,0.4177,587,43,-779.6398,-107.2022
8c5l_C,af3,4,4,100.5505,65.7694,0.6538,587,37,-928.735,-34.7811
8c5l_C,af3,4,5,120.9524,73.1658,0.4602,587,34,-567.8503,-47.7866
8c5l_C,af3,4,6,82.2527,30.6745,0.5963,587,36,-815.521,-51.5782
8c5l_C,af3,4,7,230.0143,171.7207,0.5231,587,36,-561.8838,-58.2936
8c5l_C,af3,4,8,111.3339,12.4397,0.5815,587,38,-551.1137,-98.8942
8c5l_C,af3,4,9,166.6411,55.6684,0.5056,587,35,-862.3206,-110.9727
8c5l_C,af3,5,0,123.2113,31.4637,0.5312,587,36,-779.8939,-91.7476
8c5l_C,af3,5,1,186.9411,120.9162,0.5159,587,42,-627.6208,-66.0249
8c5l_C,af3,5,2,150.6393,93.2559,0.5517,587,42,-684.9509,-57.3834
8c5l_C,af3,5,3,392.2573,249.2988,0.462,587,55,-508.4811,-142.9585
8c5l_C,af3,5,4,129.0117,47.7733,0.5091,587,37,-840.3568,-81.2384
8c5l_C,af3,5,5,62.6917,19.1253,0.5312,587,32,-778.3119,-43.5664
8c5l_C,af3,5,6,243.8818,169.4382,0.4569,587,34,-515.8591,-74.4436
8c5l_C,af3,5,7,164.3619,97.8924,0.5293,587,50,-827.6555,-66.4695
8c5l_C,af3,5,8,173.4766,60.8413,0.5273,587,40,-680.2555,-112.6353
8c5l_C,af3,5,9,52.6823,21.0284,0.3769,587,31,-786.2503,-31.6539
8c5l_C,af3,6,0,131.6752,64.1165,0.4583,587,33,-783.2072,-67.5587
8c5l_C,af3,6,1,98.4995,54.4981,0.4283,587,33,-896.6739,-44.0014
8c5l_C,af3,6,2,226.6638,174.1244,0.5449,587,40,-668.9093,-52.5394
8c5l_C,af3,6,3,174.2057,131.4274,0.4609,587,44,-598.6476,-42.7783
8c5l_C,af3,6,4,201.9767,113.6565,0.4601,587,39,-765.5395,-88.3202
8c5l_C,af3,6,5,103.9266,37.022,0.467,587,33,-805.4684,-66.9046
8c5l_C,af3,6,6,84.5412,41.4803,0.6137,587,39,-858.9997,-43.0609
8c5l_C,af3,6,7,256.4199,218.0166,0.4156,587,35,-646.7512,-38.4033
8c5l_C,af3,6,8,57.4347,17.0355,0.5143,587,35,-903.8828,-40.3992
8c5l_C,af3,6,9,176.3709,84.7901,0.4239,587,35,-680.4293,-91.5808
8c5l_C,af3,7,0,396.9907,296.3595,0.4778,587,38,-600.4772,-100.6312
8c5l_C,af3,7,1,63.008,22.3951,0.5405,587,34,-899.5429,-40.6129
8c5l_C,af3,7,2,226.2313,100.4957,0.4665,587,49,-608.6548,-125.7356
8c5l_C,af3,7,3,104.5186,11.8385,0.467,587,35,-723.8998,-92.6801
8c5l_C,af3,7,4,213.1533,184.6988,0.4577,587,33,-800.6105,-28.4545
8c5l_C,af3,7,5,125.3813,12.9485,0.6182,587,51,-830.6974,-112.4328
8c5l_C,af3,7,6,290.1052,159.2906,0.4081,587,32,-648.442,-130.8146
8c5l_C,af3,7,7,149.6329,14.4133,0.5258,587,41,-818.8607,-135.2196
8c5l_C,af3,7,8,91.4174,23.2587,0.5803,587,33,-831.9088,-68.1587
8c5l_C,af3,7,9,155.2164,111.1586,0.4992,587,57,-1038.4743,-44.0578
8c5l_C,af3,8,0,130.0223,26.6324,0.5125,587,43,-637.4983,-103.3899
8c5l_C,af3,8,1,153.2998,79.4198,0.4571,587,35,-597.1946,-73.88
