job_id,model_name,seed_id,sample_id,dG_separated,dG_cross,sc_value,nres_all,nres_int,total_score,binding_energy
mhc_0,af3,42,0,59.6541,-45.3934,0.7679,180,66,-241.4778,-105.0475
mhc_0,af3,42,1,18.9334,-36.4193,0.7478,180,65,-265.1113,-55.3527
mhc_0,af3,42,2,21.1366,-40.9168,0.7539,180,66,-282.4507,-62.0534
mhc_0,af3,42,3,47.577,-33.3989,0.7691,180,66,-185.0384,-80.9759
mhc_0,af3,42,4,35.4955,-36.2006,0.7567,180,66,-212.8808,-71.6961
mhc_0,af3,2025,0,-7.6174,-45.6511,0.7501,180,66,-243.3962,-38.0337
mhc_0,af3,2025,1,33.021,-45.2058,0.768,180,65,-280.1781,-78.2268
mhc_0,af3,2025,2,-0.0823,-39.41,0.7411,180,68,-291.3503,-39.3277
mhc_0,af3,2025,3,44.2408,-23.0086,0.7489,180,68,-220.5637,-67.2494
mhc_0,af3,2025,4,17.3356,-49.7286,0.7414,180,67,-252.239,-67.0642
mhc_0,af3,3,0,35.1546,-40.9543,0.7683,180,66,-234.9866,-76.1089
mhc_0,af3,3,1,23.9394,-17.3571,0.7042,180,66,-257.0788,-41.2965
mhc_0,af3,3,2,242.1185,-44.5354,0.7554,180,67,-61.1579,-286.6539
mhc_0,af3,3,3,4.4572,-48.4199,0.7603,180,65,-261.7749,-52.8771
mhc_0,af3,3,4,72.911,-28.6506,0.7317,180,66,-107.6967,-101.5616
mhc_0,af3,55,0,56.3415,-44.8091,0.7455,180,65,-197.7662,-101.1506
mhc_0,af3,55,1,15.6095,-34.1696,0.7795,180,65,-245.406,-49.7791
mhc_0,af3,55,2,75.7962,-39.6503,0.7535,180,67,-172.0608,-115.4465
mhc_0,af3,55,3,8.9654,-46.2673,0.7561,180,66,-232.2639,-55.2327
mhc_0,af3,55,4,54.1556,-39.0553,0.7698,180,66,-190.9164,-93.2109
mhc_0,af3,71,0,-6.3463,-35.9489,0.7641,180,67,-243.6711,-29.6026
mhc_0,af3,71,1,11.0212,-50.2461,0.7211,180,67,-232.426,-61.2673
mhc_0,af3,71,2,19.1913,-47.3484,0.7574,180,65,-224.6533,-66.5397
mhc_0,af3,71,3,36.358,-19.9984,0.7503,180,66,-156.1093,-56.3564
mhc_0,af3,71,4,76.5386,-35.2985,0.7428,180,67,-202.1897,-111.8371
mhc_1,af3,42,0,0.4211,-39.6863,0.7218,180,67,-306.3535,-40.1074
mhc_1,af3,42,1,10.2721,-28.9147,0.7088,180,69,-263.1758,-39.1868
mhc_1,af3,42,2,40.9992,-29.2668,0.7107,180,68,-264.7171,-70.266
mhc_1,af3,42,3,34.2374,-30.9448,0.6959,180,67,-247.1948,-65.1822
mhc_1,af3,42,4,54.6089,-24.7737,0.7326,180,69,-203.7841,-79.3826
mhc_1,af3,2025,0,-2.3775,-33.0362,0.7269,180,68,-281.3943,-30.6587
mhc_1,af3,2025,1,51.0769,-28.7531,0.7362,180,67,-232.6851,-79.83
mhc_1,af3,2025,2,17.1664,-35.0785,0.7038,180,69,-258.471,-52.2449
mhc_1,af3,2025,3,4.4054,-35.9558,0.7408,180,68,-253.6746,-40.3612
mhc_1,af3,2025,4,2.2931,-21.9539,0.7276,180,68,-283.1173,-24.247
mhc_1,af3,3,0,3.9274,-24.2285,0.729,180,68,-261.5173,-28.1559
mhc_1,af3,3,1,8.0625,-27.4529,0.7377,180,68,-266.0371,-35.5154
mhc_1,af3,3,2,19.3821,-34.7151,0.7221,180,67,-276.0454,-54.0972
mhc_1,af3,3,3,55.4004,-12.5033,0.7221,180,68,-46.5742,-67.9037
mhc_1,af3,3,4,28.0642,-46.4044,0.7344,180,68,-166.2652,-74.4686
mhc_1,af3,55,0,34.1965,-47.6869,0.6925,180,69,-225.8194,-81.8834
mhc_1,af3,55,1,43.9455,-24.5536,0.7381,180,68,-205.2465,-68.4991
mhc_1,af3,55,2,22.3518,-28.3738,0.7248,180,68,-224.445,-50.7256
mhc_1,af3,55,3,7.1275,-32.2085,0.7191,180,68,-237.5567,-39.336
mhc_1,af3,55,4,23.0908,-41.3972,0.7001,180,68,-268.74,-64.488
mhc_1,af3,71,0,117.6857,-24.1426,0.7237,180,69,-134.7434,-141.8283
mhc_1,af3,71,1,20.1302,-46.1212,0.7215,180,67,-234.6972,-66.2514
mhc_1,af3,71,2,45.4651,-33.6252,0.7262,180,68,-193.4404,-79.0903
mhc_1,af3,71,3,8.5078,-32.3148,0.7459,180,68,-235.0147,-40.8226
mhc_1,af3,71,4,30.0251,-36.1103,0.7109,180,68,-254.0475,-66.1354
mhc_2,af3,42,0,41.5135,-8.7871,0.7759,180,67,-248.7622,-50.3006
mhc_2,af3,42,1,6.9814,-51.9968,0.7813,180,69,-283.2038,-58.9782
mhc_2,af3,42,2,25.032,-43.3656,0.7818,180,67,-260.3483,-68.3976
mhc_2,af3,42,3,37.8177,-15.6689,0.7893,180,67,-208.7173,-53.4866
mhc_2,af3,42,4,55.5925,-7.1066,0.7722,180,68,-196.86,-62.6991
mhc_2,af3,2025,0,73.7189,-15.5862,0.775,180,68,-208.4231,-89.3051
mhc_2,af3,2025,1,3.1657,-50.1036,0.7818,180,67,-300.7347,-53.2693
mhc_2,af3,2025,2,-15.6051,-53.9438,0.7859,180,68,-296.2385,-38.3387
mhc_2,af3,2025,3,54.8891,8.3368,0.7694,180,67,-208.6458,-46.5523
mhc_2,af3,2025,4,3.0404,-43.7699,0.7796,180,67,-285.1208,-46.8103
mhc_2,af3,3,0,12.8837,-42.1713,0.7968,180,68,-266.4447,-55.055
mhc_2,af3,3,1,23.7919,-44.5637,0.768,180,69,-252.8613,-68.3556
mhc_2,af3,3,2,-12.7972,-52.0165,0.7818,180,67,-311.2508,-39.2193
mhc_2,af3,3,3,2.0463,-54.7574,0.7941,180,68,-271.4244,-56.8037
mhc_2,af3,3,4,57.4626,-47.2013,0.7664,180,67,-160.5342,-104.6639
mhc_2,af3,55,0,6.2667,-52.1067,0.7974,180,67,-233.3413,-58.3734
mhc_2,af3,55,1,69.5603,-45.2082,0.7875,180,67,-195.3019,-114.7685
mhc_2,af3,55,2,19.6964,-40.3116,0.8014,180,68,-217.4008,-60.008
mhc_2,af3,55,3,84.0963,-27.6712,0.7784,180,67,-198.0556,-111.7675
mhc_2,af3,55,4,-7.1329,-45.8248,0.781,180,67,-282.2743,-38.6919
mhc_2,af3,71,0,11.8127,-42.5275,0.7927,180,68,-256.0653,-54.3402
mhc_2,af3,71,1,-16.1088,-61.9549,0.7881,180,68,-240.2707,-45.8461
mhc_2,af3,71,2,7.5403,-45.7647,0.7935,180,69,-249.8837,-53.305
mhc_2,af3,71,3,15.002,-41.8252,0.7695,180,67,-194.5376,-56.8272
mhc_2,af3,71,4,9.3696,-43.8021,0.7639,180,67,-275.8092,-53.1717
mhc_3,af3,42,0,39.0924,-44.243,0.7829,180,65,-256.8637,-83.3354
mhc_3,af3,42,1,-1.4826,-38.7211,0.7843,180,66,-284.7314,-37.2385
mhc_3,af3,42,2,1.2149,-35.2003,0.7585,180,66,-308.4961,-36.4152
mhc_3,af3,42,3,-9.3283,-41.7034,0.7905,180,66,-305.6765,-32.3751
mhc_3,af3,42,4,7.7211,-41.8591,0.7574,180,66,-271.5851,-49.5802
mhc_3,af3,2025,0,34.8962,-41.7085,0.7926,180,67,-235.0069,-76.6047
mhc_3,af3,2025,1,0.702,-36.1087,0.7723,180,67,-330.4673,-36.8107
mhc_3,af3,2025,2,11.4758,-28.6841,0.7762,180,65,-276.4825,-40.1599
mhc_3,af3,2025,3,45.3691,-35.3693,0.7955,180,67,-244.3275,-80.7384
mhc_3,af3,2025,4,13.7963,-37.4379,0.7908,180,66,-270.6672,-51.2342
mhc_3,af3,3,0,37.9828,-33.8622,0.7892,180,65,-134.8034,-71.845
mhc_3,af3,3,1,36.9987,-29.4194,0.7876,180,66,-247.5618,-66.4181
mhc_3,af3,3,2,-6.4764,-43.746,0.7795,180,66,-334.3045,-37.2696
mhc_3,af3,3,3,-1.9138,-37.887,0.7778,180,67,-280.4289,-35.9732
mhc_3,af3,3,4,-4.0838,-41.6814,0.7824,180,67,-197.5324,-37.5976
mhc_3,af3,55,0,2.9362,-42.2939,0.79,180,65,-259.0127,-45.2301
mhc_3,af3,55,1,-4.6925,-44.867,0.7953,180,66,-259.4858,-40.1745
mhc_3,af3,55,2,27.4949,-39.5437,0.7627,180,66,-207.8693,-67.0386
mhc_3,af3,55,3,11.9487,-21.4252,0.7813,180,65,-249.1519,-33.3739
mhc_3,af3,55,4,39.1041,-38.0133,0.7312,180,66,-255.3272,-77.1174
mhc_3,af3,71,0,11.6653,-37.4782,0.7978,180,66,-255.6225,-49.1435
mhc_3,af3,71,1,0.4562,-42.5537,0.7913,180,65,-241.6067,-43.0099
mhc_3,af3,71,2,-11.6504,-45.7144,0.7935,180,67,-266.6416,-34.064
mhc_3,af3,71,3,27.9431,-44.2466,0.7865,180,66,-225.7446,-72.1897
mhc_3,af3,71,4,-1.8489,-37.7545,0.7806,180,66,-274.2197,-35.9056
mhc_4,af3,42,0,2.7206,-58.4998,0.8374,180,67,-296.1041,-61.2204
mhc_4,af3,42,1,-6.1159,-58.2989,0.835,180,68,-281.0941,-52.183
mhc_4,af3,42,2,0.5217,-57.4474,0.8359,180,67,-279.4966,-57.9691
mhc_4,af3,42,3,-14.9998,-58.8596,0.8411,180,67,-280.0852,-43.8598
