job_name,pdb_id,protein_chains,peptide_chains
8c5l_C,8c5l,A,C
8ccz_C,8ccz,A:B:D,C
8cd3_A,8cd3,B,A
8cir_C,8cir,A,C
8cis_B,8cis,A,B
8ck5_B,8ck5,A,B
8ckc_B,8ckc,A,B
8cky_B,8cky,A,B
8cm9_E,8cm9,A,E
8cmc_C,8cmc,A:B,C
8cmd_C,8cmd,A:B,C
8cme_C,8cme,A:B,C
8cmg_C,8cmg,A:B,C
8cmi_C,8cmi,A:B,C
8cob_F,8cob,E,F
8cqy_B,8cqy,A,B
8fu4_C,8fu4,A:B,C
8fua_C,8fua,A,C
8fub_B,8fub,A,B
8fuc_A,8fuc,B,A
8fuc_F,8fuc,B,F
8fud_C,8fud,A,C
8fym_C,8fym,A:B,C
8fyu_C,8fyu,A,C
8fzm_B,8fzm,A,B
8g8a_C,8g8a,A:B,C
8g8c_C,8g8c,H:L,C
8g8q_B,8g8q,A,B
8g8q_C,8g8q,A,C
8gck_C,8gck,A,C
8gjg_B,8gjg,A,B
8gji_B,8gji,A,B
8i3f_C,8i3f,A:B,C
8i5e_P,8i5e,H:L,P
8ia4_Q,8ia4,A:B,Q
8ia5_B,8ia5,A,B
8ia8_L,8ia8,A,L
8ib1_C,8ib1,A:B,C
8igc_B,8igc,A,B
8in0_B,8in0,A,B
8isn_C,8isn,A:B,C
8ivz_C,8ivz,A,C
8iya_D,8iya,B,D
8j5u_B,8j5u,A,B
8jbg_A,8jbg,B,A
8jbh_A,8jbh,B,A
8jgb_L,8jgb,R,L
8jgf_L,8jgf,R,L
8jgg_L,8jgg,R,L
8jis_P,8jis,R,P
8jj9_C,8jj9,A,C
8jjv_B,8jjv,A,B
8jly_B,8jly,A,B
8jv0_C,8jv0,A:B,C
8jyq_C,8jyq,A:B,C
8jzd_B,8jzd,A,B
8jzw_E,8jzw,A:B:C:D:F,E
8oep_B,8oep,A,B
8ofg_C,8ofg,A:B,C
8og0_P,8og0,H:L,P
8oio_F,8oio,B,F
8okf_B,8okf,A,B
8op0_B,8op0,A,B
8opi_B,8opi,A,B
8os1_C,8os1,A,C
8p0q_C,8p0q,A,C
8p43_P,8p43,A:B,P
8p6i_A,8p6i,H:L,A
8p9o_P,8p9o,A:B:C,P
8p9r_C,8p9r,A:B,C
8p9w_B,8p9w,A,B
8p9x_B,8p9x,A,B
8pef_B,8pef,A,B
8pii_B,8pii,A,B
8pjg_C,8pjg,A:B:D:E,C
8pku_P,8pku,B,P
8pkv_P,8pkv,B,P
8pn5_I,8pn5,A,I
8pwe_B,8pwe,A,B
8pwf_B,8pwf,A,B
8pwm_B,8pwm,A,B
8pxx_B,8pxx,A,B
8pz6_B,8pz6,A,B
8pz7_B,8pz7,A,B
8pz8_B,8pz8,A,B
8pz9_B,8pz9,A,B
8pzb_B,8pzb,A,B
8q1h_C,8q1h,A:B,C
8q1q_D,8q1q,A,D
8q1r_E,8q1r,A,E
8q26_E,8q26,A,E
8q2z_C,8q2z,A,C
8q3s_C,8q3s,A,C
8q3t_C,8q3t,A,C
8q5p_B,8q5p,A,B
8q5s_B,8q5s,A,B
8q6d_B,8q6d,A,B
8q6e_B,8q6e,A,B
8q7i_P,8q7i,A,P
8q7k_C,8q7k,A,C
8qlg_C,8qlg,B,C
8qlk_B,8qlk,A,B
8qlm_C,8qlm,A,C
8qlv_B,8qlv,A,B
8qm0_E,8qm0,A,E
8qxw_B,8qxw,A,B
8r10_C,8r10,A,C
8r18_C,8r18,A,C
8r1n_C,8r1n,A,C
8r1p_C,8r1p,A,C
8r1t_D,8r1t,A,D
8ral_C,8ral,A:B,C
8rbu_C,8rbu,A:B,C
8rbv_C,8rbv,A:B,C
8rcv_C,8rcv,A:B,C
8ref_C,8ref,A:B,C
8rhq_G,8rhq,A:B,G
8rlt_C,8rlt,A:B:D:E,C
8rlu_C,8rlu,A:B:D:E,C
8rlv_C,8rlv,A:B:D:E,C
8rmo_F,8rmo,H:L,F
8rng_C,8rng,A:B,C
8rnh_C,8rnh,A:B,C
8roo_B,8roo,A:C,B
8rop_C,8rop,A:B,C
8rte_D,8rte,A,D
8ru3_P,8ru3,A,P
8rxb_B,8rxb,A,B
8rym_C,8rym,A:B:D:E,C
8ryn_C,8ryn,A:B:D:E,C
8ryo_C,8ryo,A:B:D:E,C
8ryp_C,8ryp,A:B:D:E,C
8ryq_C,8ryq,A:B:D:E,C
8s6n_C,8s6n,B,C
8s6o_B,8s6o,A,B
8s6u_C,8s6u,A:D:Q,C
8s8o_C,8s8o,A:B,C
8sao_A,8sao,B,A
8sbk_C,8sbk,A:B,C
8sbl_C,8sbl,A:B,C
8sf8_B,8sf8,A,B
8sgf_Z,8sgf,A,Z
8sm5_B,8sm5,A,B
8smo_B,8smo,A,B
8sr6_B,8sr6,A,B
8sud_B,8sud,A,B
8suv_I,8suv,D,I
8sz2_P,8sz2,A,P
8t0p_C,8t0p,A:B,C
8t2n_D,8t2n,C,D
8t31_B,8t31,A,B
8t32_B,8t32,A,B
8t33_B,8t33,A,B
8t51_E,8t51,A:B,E
8t59_E,8t59,A:B,E
8t5e_B,8t5e,A,B
8t5p_G,8t5p,A,G
8t5q_G,8t5q,A,G
8t8g_B,8t8g,A,B
8t8s_C,8t8s,A,C
8tbv_C,8tbv,A:B,C
8tbw_C,8tbw,A:B,C
8tdx_E,8tdx,A:D,E
8tee_C,8tee,A,C
8tfu_C,8tfu,A:B:D,C
8tg7_C,8tg7,A:B:D,C
8tg8_B,8tg8,A,B
8tgc_C,8tgc,A:B:D,C
8tgp_B,8tgp,A,B
8th1_H,8th1,D,H
8th5_N,8th5,D,N
8th6_E,8th6,D,E
8th7_C,8th7,A,C
8ti7_H,8ti7,G,H
8tmz_A,8tmz,H:L,A
8toq_E,8toq,A,E
8tor_E,8tor,A,E
8tos_E,8tos,A,E
8tot_C,8tot,A,C
8tq9_P,8tq9,A:B,P
8tqa_P,8tqa,A:B,P
8tuq_B,8tuq,A,B
8tut_B,8tut,A,B
8tuv_B,8tuv,A:C,B
8tx8_C,8tx8,B,C
8u1z_B,8u1z,A,B
8u26_S,8u26,R,S
8u2m_D,8u2m,A,D
8u2y_A,8u2y,B,A
8u77_B,8u77,A:C:D,B
8u9g_C,8u9g,A:B,C
8ui6_B,8ui6,A,B
8ujh_C,8ujh,A,C
8umo_P,8umo,A:B:J:K,P
8v5y_C,8v5y,A:B,C
8v8e_C,8v8e,A:B,C
8vcx_C,8vcx,A:B:D:E,C
8vcy_C,8vcy,A:B:D:E,C
8vd2_C,8vd2,A:B:D:E,C
8vdd_C,8vdd,A:B,C
8vgc_P,8vgc,A:B,P
8vgd_P,8vgd,A:B,P
8vjp_B,8vjp,A,B
8vju_C,8vju,A,C
8vjx_C,8vjx,A,C
8vjy_B,8vjy,A,B
8vkz_E,8vkz,A:B:D,E
8vmf_B,8vmf,A,B
8vpr_B,8vpr,A,B
8vsj_P,8vsj,A:B:C:H:L,P
8vy8_C,8vy8,A,C
8w6a_H,8w6a,G,H
8w6l_C,8w6l,A:B,C
8wee_B,8wee,A,B
8wef_C,8wef,A,C
8wg8_E,8wg8,R,E
8wul_K,8wul,A:B:I:J,K
8wxq_C,8wxq,A,C
8wxr_C,8wxr,A,C
8wxt_C,8wxt,A,C
8wxu_D,8wxu,B,D
8wxv_B,8wxv,A,B
8wxw_P,8wxw,A,P
8wxx_C,8wxx,B,C
8wxz_P,8wxz,A,P
8x8a_B,8x8a,A,B
8y74_C,8y74,A:B,C
8yhz_P,8yhz,H:L,P
8ym2_B,8ym2,A,B
8zps_L,8zps,R,L
8zpt_L,8zpt,R,L
9atn_B,9atn,A,B
9ax9_C,9ax9,A,C
9c66_B,9c66,A,B
9ck0_B,9ck0,A,B
9cwn_B,9cwn,A,B
9dw6_C,9dw6,A:B,C
9eyr_B,9eyr,A,B
9ez1_B,9ez1,A,B
9ez2_B,9ez2,A,B
9f7w_B,9f7w,A,B
9f7x_B,9f7x,A,B
9fj4_B,9fj4,A:C,B
9g13_B,9g13,A:C:F,B
9gag_B,9gag,A,B
8j4g_C,8j4g,A:B,C
8jqt_C,8jqt,A:B,C
8kb0_C,8kb0,A:B,C
8kb1_C,8kb1,A:B,C
8kcv_C,8kcv,A:B,C
8ttt_B,8ttt,A,B
8ttu_B,8ttu,A,B
8u51_B,8u51,A,B
8w5z_B,8w5z,A:C:D,B
8wo9_C,8wo9,A:B,C
8gjf_D,8gjf,A:B:C,D
8skj_E,8skj,A,E
8tq7_P,8tq7,A:B,P
8tq8_P,8tq8,A:B,P
8v9q_F,8v9q,B,F
8wte_J,8wte,A:B:H:I,J
