job_id,model_name,seed_id,sample_id,original_iptm,original_ptm,actifptm,iptm,ptm,confidence_score,original_confidence_score,ranking_score,original_ranking_score
8c5l_C,af3,1,0,0.45,0.65,0.5294,0.4522,0.6491,0.5533,0.4916,0.5683,0.5066
8c5l_C,af3,1,1,0.38,0.65,0.4407,0.3805,0.6482,0.4822,0.434,0.4972,0.449
8c5l_C,af3,1,2,0.43,0.65,0.5057,0.4258,0.648,0.5342,0.4702,0.5492,0.4852
8c5l_C,af3,1,3,0.4,0.64,0.4901,0.4014,0.6447,0.521,0.4501,0.536,0.4651
8c5l_C,af3,1,4,0.45,0.67,0.5112,0.4531,0.6706,0.5431,0.4966,0.5581,0.5116
8c5l_C,af3,1,5,0.44,0.66,0.5382,0.4447,0.6567,0.5619,0.4871,0.5769,0.5021
8c5l_C,af3,1,6,0.42,0.61,0.5209,0.4176,0.6091,0.5385,0.4559,0.5535,0.4709
8c5l_C,af3,1,7,0.43,0.66,0.5383,0.4305,0.6643,0.5635,0.4773,0.5785,0.4923
8c5l_C,af3,1,8,0.42,0.65,0.5106,0.419,0.6489,0.5383,0.465,0.5533,0.48
8c5l_C,af3,1,9,0.43,0.65,0.5123,0.4346,0.649,0.5396,0.4775,0.5546,0.4925
8c5l_C,af3,2,0,0.34,0.64,0.378,0.3362,0.6439,0.4312,0.3977,0.4462,0.4127
8c5l_C,af3,2,1,0.39,0.65,0.4439,0.3877,0.652,0.4855,0.4406,0.5005,0.4556
8c5l_C,af3,2,2,0.33,0.63,0.3866,0.3294,0.6317,0.4356,0.3899,0.4506,0.4049
8c5l_C,af3,2,3,0.33,0.64,0.3888,0.3274,0.643,0.4396,0.3905,0.4546,0.4055
8c5l_C,af3,2,4,0.25,0.62,0.272,0.255,0.6163,0.3409,0.3273,0.3559,0.3423
8c5l_C,af3,2,5,0.35,0.64,0.3947,0.35,0.6427,0.4443,0.4085,0.4593,0.4235
8c5l_C,af3,2,6,0.34,0.64,0.3981,0.3419,0.6391,0.4463,0.4013,0.4613,0.4163
8c5l_C,af3,2,7,0.33,0.64,0.3899,0.3305,0.6439,0.4407,0.3932,0.4557,0.4082
8c5l_C,af3,2,8,0.18,0.65,0.2051,0.1849,0.6477,0.2936,0.2775,0.3086,0.2925
